[1, 3, 7, 10, 6, 17, 23, 3, 2, 28]
[3, 5, 7, 10, 14, 18, 24, 6, 6, 7]
[3, 5, 7, 10, 14, 18, 24, 6, 6, 7]
[2, 3, 6, 8, 11, 6, 10, 27, 2, 25]
[3, 4, 4, 2, 9, 21, 21, 6, 27, 3]
[2, 2, 5, 4, 2, 16, 8, 27, 28, 6]
[3, 2, 4, 7, 12, 5, 25, 28, 6, 8]
[2, 3, 3, 3, 3, 4, 25, 3, 29, 25]
[5, 5, 2, 7, 10, 14, 25, 7, 4, 21]
[4, 2, 5, 4, 13, 12, 3, 23, 11, 23]
[1, 1, 7, 7, 4, 14, 17, 20, 27, 3]
[3, 4, 4, 2, 6, 21, 22, 6, 27, 5]
[2, 5, 8, 10, 12, 15, 20, 10, 7, 11]
[2, 3, 4, 9, 14, 9, 19, 5, 2, 33]
[3, 4, 5, 8, 4, 5, 18, 23, 25, 5]
[2, 2, 4, 4, 5, 12, 5, 29, 28, 9]
[2, 5, 8, 10, 12, 16, 3, 10, 24, 10]
[2, 3, 3, 10, 3, 5, 3, 26, 25, 20]
[2, 6, 10, 8, 16, 22, 24, 4, 6, 2]
[3, 4, 7, 7, 9, 18, 20, 6, 23, 3]
[2, 3, 5, 7, 17, 6, 23, 20, 8, 9]
[2, 3, 4, 7, 19, 2, 25, 26, 6, 6]
[1, 1, 2, 6, 9, 1, 2, 26, 26, 26]
[3, 3, 6, 5, 13, 9, 5, 19, 5, 32]
[3, 2, 7, 9, 9, 8, 19, 8, 3, 32]
[2, 4, 4, 7, 4, 14, 7, 26, 26, 6]
[2, 3, 2, 8, 9, 4, 17, 3, 27, 25]
[4, 2, 4, 2, 2, 19, 23, 28, 8, 8]
[3, 2, 6, 4, 4, 13, 4, 16, 27, 21]
[2, 2, 2, 2, 6, 16, 26, 2, 31, 11]
[5, 4, 2, 11, 10, 20, 21, 10, 4, 13]
[2, 5, 5, 3, 12, 12, 6, 9, 26, 20]
[3, 2, 3, 8, 9, 3, 18, 7, 22, 25]
[6, 3, 4, 8, 15, 3, 2, 3, 24, 32]
[0, 2, 2, 5, 7, 14, 19, 5, 24, 22]
