[2, 2, 3, 3, 7, 1, 1, 28, 27, 26]
[0, 1, 1, 2, 2, 1, 24, 23, 23, 23]
[1, 23, 1, 1, 1, 1, 6, 22, 22, 22]
[1, 1, 1, 1, 1, 1, 26, 22, 23, 23]
[0, 1, 2, 5, 9, 13, 1, 27, 16, 26]
[1, 1, 2, 5, 5, 8, 22, 21, 16, 19]
[1, 1, 24, 1, 2, 3, 7, 15, 23, 23]
[0, 19, 1, 1, 6, 18, 18, 1, 18, 18]
[2, 3, 5, 9, 14, 5, 18, 18, 13, 13]
[0, 28, 0, 0, 0, 0, 0, 22, 24, 26]
[2, 2, 3, 3, 7, 11, 21, 18, 18, 15]
[2, 2, 6, 4, 11, 21, 24, 26, 2, 2]
[22, 2, 3, 4, 2, 17, 21, 21, 2, 6]
[0, 3, 3, 3, 4, 19, 21, 20, 15, 12]
[3, 5, 7, 11, 17, 23, 0, 9, 13, 12]
[0, 22, 2, 2, 11, 13, 16, 2, 21, 11]
[0, 0, 4, 8, 12, 16, 17, 16, 15, 12]
[2, 16, 6, 11, 14, 13, 12, 15, 2, 9]
[3, 3, 3, 3, 6, 10, 15, 19, 19, 19]
[0, 2, 5, 8, 11, 14, 16, 17, 14, 13]
[1, 3, 4, 5, 5, 22, 21, 16, 14, 9]
[26, 0, 0, 0, 0, 0, 18, 19, 20, 17]
[12, 11, 11, 11, 11, 11, 10, 11, 11, 1]
[1, 1, 3, 7, 8, 16, 18, 18, 17, 11]
[0, 1, 2, 3, 4, 32, 29, 27, 1, 1]
[1, 21, 5, 7, 8, 14, 21, 16, 4, 3]
[2, 2, 2, 27, 2, 2, 23, 27, 3, 10]
[30, 0, 0, 0, 0, 0, 9, 11, 21, 29]
[0, 0, 0, 0, 0, 0, 19, 23, 27, 31]
[4, 5, 5, 10, 11, 15, 14, 14, 11, 11]
[0, 0, 0, 0, 0, 25, 25, 25, 25, 0]
[0, 31, 0, 0, 20, 0, 20, 0, 29, 0]
[8, 9, 10, 10, 11, 9, 11, 10, 11, 11]
[0, 0, 0, 1, 6, 23, 31, 37, 0, 0]
[3, 7, 2, 8, 1, 9, 5, 5, 2, 8]
