[0, 1, 2, 2, 3, 3, 3, 4, 6, 6]
[0, 1, 2, 3, 3, 6, 3, 7, 6, 5]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[1, 1, 1, 1, 1, 2, 3, 4, 5, 6]
[2, 3, 3, 3, 6, 7, 7, 3, 3, 3]
[1, 1, 1, 1, 1, 1, 1, 2, 4, 2]
[0, 1, 2, 2, 2, 9, 11, 3, 3, 4]
[1, 1, 1, 2, 2, 1, 1, 11, 1, 21]
[1, 2, 3, 4, 6, 9, 10, 3, 2, 16]
[0, 0, 0, 1, 2, 4, 7, 9, 11, 10]
[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 2, 2, 2, 4, 4, 9, 11, 13, 17]
[0, 1, 3, 6, 9, 12, 14, 15, 13, 7]
[1, 0, 5, 6, 7, 0, 13, 13, 0, 19]
[1, 1, 2, 2, 3, 5, 8, 10, 13, 15]
[1, 1, 1, 1, 1, 1, 1, 1, 22, 20]
[1, 1, 3, 7, 0, 0, 0, 15, 19, 21]
[1, 3, 1, 0, 1, 9, 1, 11, 16, 17]
[0, 1, 3, 5, 8, 11, 13, 16, 20, 23]
[1, 1, 1, 1, 1, 8, 8, 12, 12, 15]
[1, 1, 1, 1, 1, 8, 12, 15, 18, 18]
[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]
[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]
[1, 1, 1, 1, 3, 9, 13, 18, 22, 26]
[2, 2, 2, 2, 2, 1, 11, 21, 26, 31]
[3, 5, 8, 13, 17, 22, 26, 2, 2, 2]
[5, 7, 10, 15, 18, 20, 22, 1, 1, 1]
