[0, 1, 4, 15, 22, 22, 23, 2, 7, 4]
[0, 0, 8, 18, 23, 24, 20, 3, 2, 2]
[0, 2, 6, 12, 22, 26, 18, 8, 4, 2]
[2, 3, 5, 8, 18, 22, 22, 18, 1, 1]
[2, 3, 3, 9, 2, 22, 23, 27, 6, 3]
[2, 4, 6, 2, 2, 21, 26, 27, 6, 4]
[1, 2, 2, 5, 20, 20, 20, 20, 5, 5]
[5, 7, 10, 15, 18, 20, 22, 1, 1, 1]
[2, 3, 7, 11, 16, 19, 19, 21, 2, 0]
[3, 5, 7, 10, 14, 18, 24, 6, 6, 7]
[0, 3, 3, 9, 15, 17, 20, 13, 10, 10]
[1, 7, 8, 14, 18, 14, 16, 18, 1, 3]
[1, 1, 1, 10, 25, 20, 20, 20, 1, 1]
[2, 3, 6, 10, 16, 18, 20, 21, 4, 0]
[0, 0, 5, 10, 15, 20, 20, 15, 10, 5]
[1, 1, 10, 12, 12, 18, 22, 23, 1, 0]
[1, 1, 10, 1, 15, 20, 20, 30, 1, 1]
[0, 0, 0, 18, 20, 0, 3, 3, 27, 29]
[3, 6, 9, 12, 15, 18, 21, 14, 1, 1]
[1, 1, 15, 16, 1, 19, 21, 24, 1, 1]
[4, 4, 4, 13, 12, 21, 21, 21, 0, 0]
[5, 5, 5, 21, 21, 21, 21, 1, 0, 0]
[5, 1, 8, 13, 14, 23, 12, 5, 5, 14]
[2, 3, 5, 14, 16, 19, 20, 21, 0, 0]
[0, 5, 4, 8, 18, 16, 6, 4, 20, 19]
[1, 1, 7, 1, 15, 20, 20, 4, 30, 1]
[3, 7, 10, 20, 20, 30, 3, 3, 3, 1]
[3, 4, 8, 10, 12, 17, 21, 13, 11, 1]
[1, 1, 1, 1, 13, 16, 19, 22, 25, 1]
[1, 3, 7, 10, 6, 17, 23, 3, 2, 28]
[0, 1, 1, 1, 18, 19, 19, 20, 20, 1]
[5, 6, 11, 14, 18, 22, 24, 0, 0, 0]
[0, 1, 4, 10, 10, 15, 15, 20, 15, 10]
[2, 1, 13, 13, 16, 16, 1, 2, 17, 19]
[4, 7, 11, 14, 18, 21, 25, 0, 0, 0]
[4, 7, 11, 14, 18, 21, 25, 0, 0, 0]
[4, 7, 11, 14, 18, 21, 25, 0, 0, 0]
[1, 1, 1, 1, 16, 26, 26, 26, 1, 1]
[20, 0, 14, 12, 19, 17, 2, 3, 5, 8]
[6, 7, 9, 11, 14, 17, 26, 5, 5, 0]
[1, 1, 1, 21, 21, 21, 11, 20, 3, 0]
