[3, 5, 8, 13, 17, 22, 26, 2, 2, 2]
[4, 6, 7, 13, 18, 21, 25, 1, 3, 2]
[2, 4, 11, 13, 17, 21, 27, 1, 1, 3]
[4, 7, 8, 12, 17, 21, 24, 2, 2, 3]
[6, 7, 9, 11, 18, 25, 24, 0, 0, 0]
[8, 10, 12, 15, 18, 18, 12, 5, 1, 1]
[1, 2, 10, 15, 17, 24, 1, 26, 2, 2]
[2, 2, 2, 1, 16, 21, 26, 26, 2, 2]
[2, 4, 4, 5, 5, 25, 26, 26, 1, 2]
[6, 7, 8, 9, 10, 2, 2, 2, 28, 26]
[1, 1, 5, 4, 14, 22, 21, 14, 12, 6]
[0, 0, 1, 3, 6, 22, 27, 25, 12, 4]
[3, 3, 3, 0, 19, 21, 23, 22, 3, 3]
[2, 2, 3, 3, 2, 2, 16, 23, 23, 24]
[3, 3, 3, 3, 9, 17, 21, 21, 17, 3]
[2, 4, 5, 7, 9, 11, 13, 15, 16, 18]
[1, 2, 1, 6, 9, 19, 19, 17, 15, 11]
[1, 6, 11, 13, 1, 11, 16, 19, 21, 1]
[0, 0, 0, 0, 0, 19, 24, 27, 28, 2]
[0, 0, 0, 10, 15, 20, 25, 30, 0, 0]
[0, 0, 1, 12, 15, 17, 23, 3, 2, 27]
[0, 0, 2, 4, 14, 19, 22, 23, 16, 0]
[0, 0, 0, 0, 0, 20, 20, 20, 20, 20]
[0, 0, 0, 9, 11, 12, 14, 16, 18, 20]
[0, 0, 0, 0, 12, 18, 24, 22, 24, 0]
[0, 0, 0, 0, 8, 14, 18, 20, 20, 20]
[0, 0, 0, 0, 18, 20, 21, 21, 20, 0]
