[0, 0, 0, 1, 3, 2, 2, 28, 35, 29]
[0, 0, 0, 1, 1, 2, 2, 31, 31, 32]
[0, 0, 0, 1, 3, 3, 3, 22, 31, 37]
[0, 0, 2, 2, 4, 3, 3, 22, 32, 32]
[0, 1, 1, 1, 3, 3, 29, 31, 29, 2]
[0, 1, 1, 2, 2, 1, 24, 23, 23, 23]
[0, 0, 2, 2, 2, 2, 22, 24, 23, 23]
[0, 0, 0, 0, 1, 1, 22, 27, 26, 23]
[0, 1, 1, 1, 1, 1, 11, 26, 32, 26]
[0, 0, 0, 1, 2, 0, 1, 35, 34, 27]
[0, 1, 1, 1, 1, 1, 21, 22, 25, 27]
[0, 1, 1, 1, 1, 1, 20, 22, 26, 27]
[1, 1, 1, 1, 1, 1, 1, 30, 31, 32]
[1, 1, 1, 1, 1, 1, 1, 32, 31, 30]
[1, 1, 1, 1, 1, 1, 1, 31, 31, 31]
[1, 1, 1, 1, 1, 1, 1, 26, 33, 34]
[1, 3, 3, 3, 3, 2, 24, 27, 29, 5]
[0, 0, 1, 2, 2, 17, 23, 22, 29, 4]
[0, 0, 0, 0, 4, 7, 22, 3, 31, 33]
[0, 0, 0, 0, 1, 3, 17, 21, 27, 31]
[0, 1, 1, 2, 1, 1, 25, 31, 37, 1]
[0, 0, 0, 0, 0, 2, 24, 26, 26, 22]
[1, 1, 1, 1, 1, 1, 1, 23, 35, 35]
[1, 1, 2, 2, 1, 2, 22, 26, 32, 11]
[1, 2, 3, 2, 2, 2, 26, 27, 33, 2]
[0, 0, 2, 2, 2, 3, 9, 12, 34, 36]
[0, 0, 0, 2, 8, 16, 2, 23, 26, 23]
[0, 0, 2, 2, 2, 2, 10, 18, 30, 34]
[1, 2, 3, 2, 2, 2, 23, 27, 6, 32]
[0, 0, 0, 0, 3, 7, 17, 27, 25, 21]
[0, 0, 0, 2, 0, 4, 12, 21, 27, 34]
[0, 1, 1, 4, 9, 11, 2, 31, 34, 7]
[1, 1, 1, 1, 2, 2, 23, 23, 23, 23]
[0, 0, 0, 0, 2, 4, 3, 18, 42, 31]
[0, 0, 0, 0, 0, 0, 3, 28, 34, 35]
[0, 0, 0, 0, 1, 0, 21, 23, 26, 29]
[0, 0, 0, 0, 0, 6, 8, 30, 30, 26]
[0, 2, 2, 2, 2, 3, 11, 18, 26, 34]
[0, 0, 0, 0, 2, 0, 23, 24, 25, 26]
[0, 0, 0, 2, 0, 22, 0, 28, 34, 14]
[0, 0, 4, 4, 4, 1, 11, 28, 27, 21]
[0, 0, 0, 0, 0, 7, 0, 29, 29, 35]
[0, 0, 0, 0, 0, 0, 4, 32, 32, 32]
[0, 0, 0, 1, 1, 15, 25, 25, 25, 8]
[1, 1, 2, 3, 3, 5, 7, 26, 26, 26]
[0, 0, 1, 1, 1, 20, 22, 26, 27, 2]
[0, 0, 0, 0, 0, 0, 23, 27, 27, 23]
[0, 0, 0, 0, 8, 1, 28, 34, 16, 13]
[1, 1, 1, 1, 1, 1, 26, 22, 23, 23]
[0, 1, 1, 3, 2, 24, 29, 33, 3, 4]
[1, 1, 1, 1, 1, 1, 20, 24, 23, 27]
[0, 1, 3, 4, 5, 10, 11, 27, 27, 12]
[1, 1, 1, 1, 1, 1, 18, 22, 26, 28]
[1, 1, 1, 1, 1, 1, 18, 22, 26, 28]
[0, 1, 2, 2, 2, 25, 29, 31, 4, 4]
[0, 0, 0, 0, 15, 16, 2, 27, 32, 8]
[0, 0, 0, 0, 0, 0, 22, 24, 26, 28]
[1, 1, 1, 1, 1, 1, 18, 23, 25, 28]
[0, 1, 1, 2, 4, 8, 16, 20, 22, 26]
[2, 3, 3, 4, 4, 4, 22, 27, 28, 3]
[1, 1, 3, 3, 5, 1, 26, 23, 36, 1]
[1, 1, 1, 1, 1, 1, 23, 35, 35, 1]
[0, 0, 0, 0, 0, 0, 1, 30, 33, 36]
[1, 1, 1, 11, 1, 1, 4, 26, 27, 27]
[1, 1, 1, 2, 3, 2, 2, 3, 43, 42]
[0, 0, 0, 2, 4, 10, 14, 18, 22, 30]
[0, 0, 0, 0, 0, 0, 24, 25, 25, 26]
[0, 0, 0, 0, 0, 0, 20, 25, 27, 28]
[0, 0, 0, 0, 0, 2, 13, 16, 34, 35]
[1, 2, 2, 3, 3, 22, 1, 1, 28, 37]
[0, 0, 0, 0, 0, 0, 25, 25, 25, 25]
[0, 0, 0, 0, 0, 0, 18, 26, 28, 28]
[0, 0, 0, 0, 0, 0, 25, 25, 25, 25]
[0, 0, 0, 0, 0, 0, 25, 25, 25, 25]
[0, 0, 0, 0, 0, 0, 19, 23, 27, 31]
[0, 0, 0, 0, 0, 0, 19, 23, 27, 31]
[0, 1, 1, 1, 1, 21, 21, 0, 27, 27]
[0, 0, 0, 0, 0, 0, 22, 26, 26, 26]
[3, 1, 1, 1, 4, 7, 26, 3, 26, 28]
[0, 1, 2, 2, 7, 11, 27, 23, 11, 16]
[0, 0, 0, 0, 0, 19, 24, 27, 28, 2]
[0, 0, 0, 3, 4, 10, 15, 20, 22, 26]
[0, 0, 0, 0, 0, 11, 19, 26, 33, 11]
[0, 0, 1, 2, 4, 8, 13, 17, 23, 31]
[0, 2, 3, 4, 2, 18, 28, 30, 8, 5]
[0, 0, 0, 0, 0, 6, 9, 21, 26, 36]
[1, 1, 1, 1, 1, 1, 21, 21, 41, 11]
[0, 1, 1, 1, 1, 12, 16, 21, 26, 21]
[0, 0, 2, 3, 8, 13, 18, 26, 2, 28]
[1, 1, 1, 4, 4, 1, 0, 21, 38, 29]
[2, 2, 2, 2, 2, 2, 14, 30, 30, 14]
[1, 1, 3, 2, 7, 13, 6, 30, 34, 3]
[0, 0, 0, 0, 0, 0, 20, 30, 30, 20]
[1, 1, 2, 6, 9, 1, 2, 26, 26, 26]
[1, 1, 2, 6, 9, 1, 2, 26, 26, 26]
[0, 0, 1, 3, 6, 13, 21, 22, 20, 14]
[0, 0, 5, 5, 3, 5, 30, 34, 9, 9]
[0, 0, 0, 0, 0, 0, 10, 25, 30, 35]
[0, 0, 0, 0, 0, 0, 20, 25, 25, 30]
[0, 0, 0, 0, 3, 11, 17, 21, 23, 25]
[0, 0, 0, 1, 1, 24, 24, 0, 25, 25]
[0, 1, 2, 5, 9, 13, 1, 27, 16, 26]
[0, 1, 1, 1, 0, 0, 17, 20, 29, 31]
[2, 2, 3, 3, 7, 1, 1, 28, 27, 26]
[0, 0, 0, 0, 0, 11, 17, 23, 32, 17]
[0, 0, 0, 2, 12, 11, 22, 32, 2, 19]
[0, 2, 4, 7, 4, 6, 27, 31, 9, 10]
[0, 0, 1, 3, 6, 22, 27, 25, 12, 4]
[0, 0, 0, 1, 1, 12, 15, 18, 24, 29]
[1, 1, 2, 2, 3, 11, 1, 1, 36, 42]
[0, 0, 0, 0, 0, 0, 0, 31, 37, 32]
[0, 0, 0, 0, 0, 1, 30, 0, 34, 35]
[0, 0, 0, 2, 6, 12, 16, 20, 22, 22]
[0, 0, 0, 0, 0, 0, 17, 23, 24, 36]
[0, 0, 0, 0, 0, 0, 0, 34, 33, 33]
[0, 0, 0, 0, 0, 0, 0, 34, 33, 33]
[2, 4, 3, 2, 2, 2, 23, 27, 3, 32]
[0, 1, 2, 3, 5, 10, 16, 19, 21, 23]
[0, 0, 0, 0, 5, 10, 10, 20, 25, 30]
[1, 1, 4, 4, 11, 11, 2, 2, 32, 32]
[0, 0, 3, 1, 0, 8, 12, 13, 33, 30]
[0, 0, 0, 0, 0, 0, 13, 22, 30, 35]
