[2, 6, 8, 9, 9, 9, 9, 31, 8, 9]
[4, 4, 6, 5, 5, 2, 33, 3, 34, 4]
[2, 3, 4, 4, 4, 9, 31, 2, 38, 3]
[9, 9, 9, 9, 9, 9, 9, 9, 9, 19]
[1, 5, 5, 9, 9, 9, 9, 1, 23, 29]
[9, 10, 9, 9, 9, 9, 9, 9, 9, 9]
[1, 2, 2, 2, 2, 1, 20, 20, 25, 25]
[1, 1, 1, 1, 1, 19, 19, 19, 19, 19]
[1, 42, 1, 1, 11, 6, 17, 1, 18, 2]
[3, 3, 3, 3, 3, 8, 16, 8, 16, 8]
[0, 0, 14, 12, 12, 12, 12, 12, 12, 12]
[0, 12, 11, 11, 11, 11, 11, 11, 11, 11]
[0, 0, 0, 16, 14, 14, 14, 14, 14, 14]
[0, 7, 0, 10, 0, 21, 0, 26, 0, 36]
[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
[0, 0, 0, 0, 20, 16, 16, 16, 16, 16]
[0, 0, 0, 0, 0, 24, 19, 19, 19, 19]
[0, 10, 0, 13, 0, 23, 0, 26, 0, 28]
[2, 0, 11, 0, 19, 0, 30, 0, 37, 1]
[0, 0, 0, 0, 0, 0, 28, 24, 24, 24]
[3, 0, 8, 0, 18, 0, 29, 0, 42, 0]
[0, 0, 0, 0, 0, 0, 0, 34, 33, 33]
[0, 0, 12, 0, 22, 0, 26, 0, 40, 0]
[6, 0, 10, 0, 25, 0, 27, 0, 32, 0]
[9, 0, 0, 31, 0, 29, 0, 31, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 51, 50]
[0, 31, 0, 0, 20, 0, 20, 0, 29, 0]
